CNN,STREET,ST_TYPE,ZIP_CODE,DISTRICT,ACCEPTED,JURISDICTI,NHOOD,LAYER,CNNTEXT,STREETNAME,STREETNA_2,ROWACTUALA,NEIGHBORHO,POINT_X,POINT_Y
11276000,SADOWA,ST,94112,11,N,DPW,Oceanview,STREETS,11276000,SADOWA ST,SADOWA ST fr:SAN JOSE AVE to:PLYMOUTH AVE,23643,Oceanview,5996091.423,2087744.573
8184000,LAWRENCE,AVE,94112,11,N,,Outer Mission,Paper_fwys,8184000,LAWRENCE AVE,LAWRENCE AVE fr:START: 300-399 BLOCK to:SAN JOSE AVE,6190,Outer Mission,5996367.429,2087702.748
11285000,SAGAMORE,ST,94112,11,N,DPW,Oceanview,STREETS,11285000,SAGAMORE ST,SAGAMORE ST fr:SAGAMORE ST to:ALEMANY BLVD,11387,Oceanview,5994073.674,2087403.202
10511000,PLYMOUTH,AVE,94112,11,N,DPW,Outer Mission,STREETS,10511000,PLYMOUTH AVE,PLYMOUTH AVE fr:SAN JOSE AVE to:SAGAMORE ST,1624,Outer Mission,5995918.508,2087380.43
10512000,PLYMOUTH,AVE,94112,11,N,DPW,Oceanview,STREETS,10512000,PLYMOUTH AVE,PLYMOUTH AVE fr:SAGAMORE ST to:SADOWA ST,19878,Oceanview,5995889.467,2087580.76
3658000,CAPITOL,AVE,94112,11,N,,Oceanview,STREETS,3658000,CAPITOL AVE,CAPITOL AVE fr:START: 1-99 BLOCK to:SAGAMORE ST,12350,Oceanview,5995027.354,2087321.562
9993000,ORIZABA,AVE,94132,11,N,,Oceanview,PAPER,9993000,ORIZABA AVE,ORIZABA AVE fr:SHIELDS ST to:LAKEVIEW AVE,5965,Oceanview,5994028.841,2089881.31
11424000,SAN JOSE,AVE,94112,11,N,,Ingleside,Paper_fwys,11424000,SAN JOSE AVE,SAN JOSE AVE fr:SAN JOSE AVE to:RIDGE LN,11759,Ingleside,5998180.378,2089888.454
4705000,DELTA,ST,94134,10,N,,Visitacion Valley,UPROW,4705000,DELTA ST,DELTA ST fr:TUCKER AVE to:CAMPBELL AVE,12157,Visitacion Valley,6009767.486,2088863.267
5243000,ERVINE,ST,94134,10,N,DPW,Visitacion Valley,STREETS,5243000,ERVINE ST,ERVINE ST fr:WILDE AVE to:END: 1-75 BLOCK,18143,Visitacion Valley,6009701.709,2089385.137
2975000,BISHOP,ST,94134,10,N,,Visitacion Valley,UPROW,2975000,BISHOP ST,BISHOP ST fr:BISHOP ST to:HARKNESS AVE,3466,Visitacion Valley,6010841.929,2089472.267
2880000,BEEMAN,LN,94134,10,N,,Visitacion Valley,UPROW,2880000,BEEMAN LN,BEEMAN LN fr:SAN BRUNO AVE to:RACINE LN,1630,Visitacion Valley,6012011.711,2088217.879
13390000,WARD,ST,94134,10,N,,Visitacion Valley,UPROW,13390000,WARD ST,WARD ST fr:SAN BRUNO AVE to:GIRARD ST,12575,Visitacion Valley,6011925.172,2089875.046
5842000,FRATESSA,CT,94134,10,N,,Visitacion Valley,UPROW,5842000,FRATESSA CT,FRATESSA CT fr:START: 1-98 BLOCK to:GIRARD ST,4679,Visitacion Valley,6012100.231,2088747.992
11974000,SOMERSET,ST,94134,10,N,,Visitacion Valley,UPROW,11974000,SOMERSET ST,SOMERSET ST fr:START: 1300-1399 BLOCK to:CAMPBELL AVE,6430,Visitacion Valley,6011361.017,2088327.326
4703000,DELTA,ST,94134,10,N,DPW,Visitacion Valley,STREETS,4703000,DELTA ST,DELTA ST fr:TIOGA AVE to:DELTA ST,4720,Visitacion Valley,6009883.452,2089179.513
4704000,DELTA,ST,94134,10,N,,Visitacion Valley,UPROW,4704000,DELTA ST,DELTA ST fr:DELTA ST to:TUCKER AVE,7699,Visitacion Valley,6009839.462,2089059.842
5244000,ERVINE,ST,94134,10,N,,Visitacion Valley,UPROW,5244000,ERVINE ST,ERVINE ST fr:START: 76-99 BLOCK to:CAMPBELL AVE,7712,Visitacion Valley,6009516.284,2088899.318
2143000,ALBERTA,ST,94134,10,N,DPW,Visitacion Valley,STREETS,2143000,ALBERTA ST,ALBERTA ST fr:START: 1-99 BLOCK to:CAMPBELL AVE,6065,Visitacion Valley,6009275.893,2088969.738
2213000,ALPHA,ST,94134,10,N,,Visitacion Valley,UPROW,2213000,ALPHA ST,ALPHA ST fr:ALPHA ST to:CAMPBELL AVE,8370,Visitacion Valley,6011068.669,2088255.955
2212000,ALPHA,ST,94134,10,N,DPW,Visitacion Valley,STREETS,2212000,ALPHA ST,ALPHA ST fr:TUCKER AVE to:ALPHA ST,4724,Visitacion Valley,6011160.384,2088357.866
7468000,JENNINGS,CT,94124,10,N,DPW,Bayview Heights,STREETS,7468000,JENNINGS CT,JENNINGS CT fr:JENNINGS CT to:MEADE AVE,12165,Bayview Heights,6012979.868,2089195.722
2820000,BAY SHORE,BLVD,94124,10,N,,Bayview Heights,STREETS,2820000,BAY SHORE BLVD,BAY SHORE BLVD fr:03RD ST to:HWY 101 S OFF RAMP,4972,Bayview Heights,6012644.997,2089018.549
8938000,MEADE,AVE,94124,10,N,DPW,Bayview Heights,STREETS,8938000,MEADE AVE,MEADE AVE fr:JENNINGS ST to:03RD ST,13908,Bayview Heights,6012852.212,2089443.441
6193000,GILROY,ST,94124,10,N,,Bayview Heights,UPROW,6193000,GILROY ST,GILROY ST fr:GILROY ST to:JAMESTOWN AVE,5095,Bayview Heights,6015208.629,2088571.005
4413000,CORONADO,ST,94124,10,N,,Bayview Heights,UPROW,4413000,CORONADO ST,CORONADO ST fr:INGERSON AVE to:JAMESTOWN AVE,12888,Bayview Heights,6014894.177,2089137.165
5374000,EXECUTIVE PARK,BLVD,94134,10,N,DPW,Bayview Heights,STREETS,5374000,EXECUTIVE PARK BLVD,EXECUTIVE PARK BLVD fr:HARNEY WAY to:EXECUTIVE PARK BLVD,23288,Bayview Heights,6014731.75,2086794.175
5113000,EGBERT,AVE,94124,10,N,DPW,Bayview District,STREETS,5113000,EGBERT AVE,EGBERT AVE fr:EARL ST to:ARELIOUS WALKER DR,53274,Bayview District,6016704.625,2089343.123
5112000,EGBERT,AVE,94124,10,N,DPW,Bayview District,STREETS,5112000,EGBERT AVE,EGBERT AVE fr:DONAHUE ST to:EARL ST,52781,Bayview District,6017236.047,2088946.956
